lrk_id;type_oko;opc;aantal_kindplaatsen;ve;status;inschrijfdatum;uitschrijfdatum;opvanglocatie_postcode;opvanglocatie_woonplaats;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
100002092;VGO;Nee;6;;Uitgeschreven;11-07-2022;17-07-2024;;Opvang bij de vraagouder;;;;;;166;Kampen;192463846;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ef957b11-1ae4-427c-a58a-c645b9fffcf1
100002687;VGO;Nee;6;;Ingeschreven;21-07-2025;;;Opvang bij de vraagouder;;;;;;1659;Laarbeek;149051232;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/826239c8-3de3-4629-8d62-a0dc29d55eb1
100003242;VGO;Nee;6;;Uitgeschreven;15-04-2022;07-05-2026;4261AK;Wijk en Aalburg;;;;;;1959;Altena;104000570;169981447;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/da0d050c-2c56-456e-b6c7-58f53446b892
100005871;VGO;Nee;5;;Uitgeschreven;01-01-2019;13-10-2020;;Opvang bij de vraagouder;;;;;;796;'s-Hertogenbosch;213760289;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1d596748-0b67-4b49-bad1-651f0e8d24cf
100011299;VGO;Nee;6;;Uitgeschreven;03-02-2017;12-02-2019;;Opvang bij de vraagouder;;;;;;513;Gouda;124909097;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0a324d60-9172-4f74-8bee-e14162716901
100019778;BSO;Nee;80;;Ingeschreven;09-11-2020;;2451BV;Leimuiden;41165967;000019526881;Stichting;2016-01-18;;1884;Kaag en Braassem;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a4c36631-40a4-444d-84b3-b792a1e9cdf6
100022340;VGO;Nee;6;;Ingeschreven;11-09-2014;;3763ZP;Soest;;;;;;342;Soest;205841971;385569786;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6a5d4c94-1dd2-44ab-a279-1df1fd536772
100027544;BSO;Nee;140;;Ingeschreven;01-01-2010;;5236TL;'s-Hertogenbosch;60901934;000059382341;Besloten Vennootschap;2016-01-27;;796;'s-Hertogenbosch;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0798c5bb-6b12-4dcf-ac8c-23d60dc6c806
100036156;VGO;Nee;6;;Uitgeschreven;05-07-2016;15-03-2019;1702KM;Heerhugowaard;;;;;;1980;Dijk en Waard;183344340;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b321aa9a-baf6-4574-b5ad-eb51c7312728
100037264;KDV;Nee;19;Nee;Ingeschreven;10-12-2010;;3764CK;Soest;50634089;000048184888;Besloten Vennootschap;2016-04-12;;342;Soest;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b3c0f011-e459-4eb1-89cc-b655d403512c
100037951;VGO;Nee;6;;Ingeschreven;27-09-2010;;7006TG;Doetinchem;;;;;;222;Doetinchem;163832341;210758855;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b246a85f-cfd7-4e9c-9bf7-bf7486259692
100040305;VGO;Nee;3;;Uitgeschreven;04-09-2018;30-04-2020;;Opvang bij de vraagouder;;;;;;569;Nieuwkoop;225800378;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e27f43be-0bca-4938-acd3-e66b5e418f89
100045662;VGO;Nee;6;;Uitgeschreven;30-06-2014;01-08-2026;6716KE;Ede;;;;;;228;Ede;162801580;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4a9c58eb-ba87-4843-8275-03e5b9e7b17d
100047130;VGO;Nee;4;;Ingeschreven;08-11-2010;;2642DS;Pijnacker;;;;;;1926;Pijnacker-Nootdorp;212533022;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ae590e53-5c79-4296-9a10-e8948d570072
100048146;KDV;Nee;16;Ja;Ingeschreven;19-12-2019;;3252LA;Goedereede;22049355;000044711026;Stichting;2016-01-25;;1924;Goeree-Overflakkee;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/0a845590-74da-4898-bf13-9efbe030fdde
100053270;VGO;Nee;3;;Uitgeschreven;23-07-2020;05-01-2021;;Opvang bij de vraagouder;;;;;;758;Breda;132726907;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8356bdd5-b8ac-4a9d-9c17-3264b05a4117
100054006;BSO;Nee;34;;Ingeschreven;06-02-2012;;6681CD;Bemmel;85036722;000023856440;Eenmanszaak;2016-04-14;;1705;Lingewaard;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6864db82-f5e7-49b5-93aa-7e1a6a607dfa
100057767;VGO;Nee;6;;Uitgeschreven;20-10-2016;01-02-2019;1403JT;Bussum;;;;;;1942;Gooise Meren;160012351;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/7b1a3570-aa47-4458-972e-323d57ce0344
100059612;VGO;Nee;6;;Uitgeschreven;06-08-2013;15-08-2019;5451BD;Mill;;;;;;1982;Land van Cuijk;512128121;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a645088b-f413-4ce9-a77e-df53fc0c1050
100060675;VGO;Nee;3;;Uitgeschreven;18-11-2014;12-06-2020;;Opvang bij de vraagouder;;;;;;785;Goirle;344376266;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a2948a31-b0eb-48b9-8d87-fb240f43b9a1
100062507;KDV;Nee;16;Ja;Ingeschreven;01-07-2012;;1962WN;Heemskerk;34219786;000022138730;Stichting;2016-01-11;;396;Heemskerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2f33bbfb-aded-4a4b-ae64-50975cde4204
100066410;VGO;Nee;5;;Ingeschreven;21-09-2010;;1502NK;Zaandam;;;;;;479;Zaanstad;158005909;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a2456164-9838-4cb9-a456-62e1cc3f2bc5
100066811;VGO;Nee;6;;Uitgeschreven;25-07-2019;23-09-2020;7207GE;Zutphen;;;;;;301;Zutphen;174815220;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4938f513-ba93-4947-9551-3fcee41b66c9
100074868;VGO;Nee;6;;Uitgeschreven;17-08-2010;01-08-2019;;Opvang bij de vraagouder;;;;;;246;Heerde;295706442;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/2b30b488-1faa-40fb-86b8-71925e6d5757
100075964;BSO;Nee;70;;Ingeschreven;01-01-2010;;3861MA;Nijkerk;34162208;000026208466;Stichting;2016-01-12;;267;Nijkerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ec32fd28-58df-4e28-ba63-0cc1bda908ea
100076269;VGO;Nee;6;;Uitgeschreven;10-10-2024;01-04-2026;;Opvang bij de vraagouder;;;;;;828;Oss;921029494;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1f16bfbd-83e2-4cc6-aae6-8400603ee1d1
100077067;VGO;Nee;4;;Uitgeschreven;15-07-2013;31-10-2024;;Opvang bij de vraagouder;;;;;;935;Maastricht;985438046;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a0345c6b-5e68-4ccb-8efb-bdace5a06df5
100077122;VGO;Nee;6;;Ingeschreven;28-04-2010;;3851EJ;Ermelo;;;;;;233;Ermelo;134438929;161848060;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1bd3a931-fa38-41af-90ca-964ab9351032
100079271;BSO;Nee;10;;Ingeschreven;23-12-2015;;1171XH;Badhoevedorp;64193144;000033040443;Eenmanszaak;2016-01-14;;394;Haarlemmermeer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/25fc050f-7096-4cda-b8e3-4fddee0ea88b
100079623;BSO;Nee;60;;Ingeschreven;01-10-2013;;3925VB;Scherpenzeel;09130037;000018326080;BeslotenVennootschap;2015-12-16;;279;Scherpenzeel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/38e403b4-c062-4709-9074-c1f98e9fa2b6
